               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.040015,            0.030685,            0.007515,             0.52251,             0.20666,             0.21769,            0.091884,            0.054715,            0.038742,            0.030527,            0.004984,            0.004984,            0.004984
                  78,            0.040563,            0.028817,           0.0092662,             0.89425,             0.16798,             0.22244,            0.097935,            0.055696,            0.037994,            0.030306,            0.004918,            0.004918,            0.004918
                  79,            0.039541,            0.031864,           0.0092025,             0.76481,             0.16901,             0.21532,            0.090621,             0.05666,            0.036911,            0.029714,            0.004852,            0.004852,            0.004852
                  80,            0.041181,            0.034891,           0.0086793,             0.62773,             0.20796,             0.22747,            0.095747,            0.055032,            0.036652,            0.029504,            0.004786,            0.004786,            0.004786
                  81,            0.039919,            0.030754,           0.0085933,             0.56171,             0.16852,             0.19597,            0.091804,            0.056032,            0.036751,            0.030245,             0.00472,             0.00472,             0.00472
                  82,            0.040212,            0.034739,           0.0076804,             0.47826,             0.19912,             0.21351,             0.10242,            0.055087,            0.037437,            0.029305,            0.004654,            0.004654,            0.004654
                  83,            0.039275,            0.036704,           0.0079305,             0.46015,              0.1975,             0.20208,             0.10132,            0.052431,            0.038277,            0.029775,            0.004588,            0.004588,            0.004588
                  84,            0.038071,            0.033081,           0.0086077,             0.52201,             0.24977,             0.23521,             0.11719,            0.051366,            0.038345,            0.028564,            0.004522,            0.004522,            0.004522
                  85,            0.040725,            0.035038,           0.0084657,             0.56772,             0.21741,             0.22036,             0.10562,            0.054141,            0.037659,            0.028049,            0.004456,            0.004456,            0.004456
                  86,            0.039454,            0.037755,           0.0078301,             0.74391,             0.18549,             0.21808,             0.10798,            0.052594,            0.037033,             0.02785,             0.00439,             0.00439,             0.00439
                  87,            0.038564,            0.031361,           0.0086428,              0.6714,             0.20403,             0.22645,             0.10705,             0.05514,            0.037216,            0.027623,            0.004324,            0.004324,            0.004324
                  88,            0.038082,            0.031665,           0.0072886,             0.58273,             0.22293,             0.22528,              0.1129,            0.053487,            0.036781,            0.027535,            0.004258,            0.004258,            0.004258
                  89,            0.038214,            0.029169,           0.0078906,             0.67692,             0.21263,             0.23135,             0.11452,            0.053588,            0.036568,            0.027629,            0.004192,            0.004192,            0.004192
                  90,            0.039686,            0.032711,           0.0068874,             0.64164,             0.22543,             0.23568,             0.11494,            0.053678,            0.036232,            0.027258,            0.004126,            0.004126,            0.004126
                  91,            0.036949,             0.02723,           0.0077376,             0.61794,             0.23351,             0.23741,             0.11381,            0.054052,            0.036522,            0.027701,             0.00406,             0.00406,             0.00406
