                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2811,                 1.1211,                 1.0209,                0.50581,                0.25239,                0.33167,                0.17646,                 1.8283,                 1.7914,                 1.3789,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     79,                 1.2667,                 1.1077,                 1.0218,                0.51017,                0.26327,                0.33867,                0.17156,                 1.8349,                 1.7711,                 1.3856,               7.44e-05,               7.44e-05,               7.44e-05
                     80,                 1.1982,                 1.0842,                0.99951,                0.49734,                0.25329,                0.32925,                0.17046,                 1.8267,                 1.7583,                 1.3782,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     81,                 1.2252,                 1.0826,                 1.0077,                0.62495,                0.23394,                 0.3317,                0.17211,                 1.8287,                 1.7654,                 1.3792,             6.8203e-05,             6.8203e-05,             6.8203e-05
                     82,                 1.2832,                 1.0739,                 1.0056,                0.60102,                 0.2349,                0.32992,                0.17143,                 1.8295,                 1.7743,                 1.3798,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     83,                 1.2193,                  1.067,                 1.0111,                0.62022,                0.24308,                0.33191,                0.17115,                 1.8276,                 1.8038,                 1.3752,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     84,                 1.2423,                 1.0562,                   1.01,                0.60683,                0.23876,                0.31797,                0.16202,                 1.8203,                 1.8427,                 1.3698,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     85,                   1.19,                 1.0467,                 1.0066,                0.63216,                0.24056,                0.31997,                0.16414,                 1.8344,                 1.8738,                 1.3754,             5.5808e-05,             5.5808e-05,             5.5808e-05
                     86,                 1.2526,                 1.0652,                  1.011,                0.61114,                0.25561,                0.32522,                0.16155,                 1.8335,                  1.848,                  1.382,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     87,                 1.2141,                 1.0687,                 1.0036,                0.66785,                0.23294,                0.32074,                0.16113,                 1.8276,                 1.8736,                 1.3794,             4.9611e-05,             4.9611e-05,             4.9611e-05
                     88,                 1.2549,                 1.0527,                 1.0106,                0.51591,                0.25999,                0.32483,                0.15744,                 1.8264,                 1.8885,                 1.3721,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     89,                 1.1582,                 1.0448,                0.99872,                0.50098,                0.26253,                0.32644,                0.16286,                 1.8399,                 1.8924,                  1.378,             4.3413e-05,             4.3413e-05,             4.3413e-05
                     90,                 1.2321,                 1.0193,                 1.0064,                0.60594,                0.22611,                0.31842,                0.16082,                 1.8531,                 1.9072,                 1.3772,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     91,                 1.3229,                  1.308,                 1.0513,                 0.5131,                 0.2599,                0.32449,                0.16328,                 1.8434,                 1.8874,                 1.3813,             3.7216e-05,             3.7216e-05,             3.7216e-05
                     92,                 1.2971,                 1.1763,                  1.038,                0.50117,                0.24329,                0.30949,                0.16524,                 1.8076,                 1.8566,                  1.367,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     93,                 1.2716,                  1.195,                 1.0399,                0.51949,                0.22561,                0.31324,                0.17014,                 1.7979,                 1.8657,                 1.3677,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     94,                 1.2397,                 1.1951,                 1.0078,                0.50257,                0.23601,                0.30953,                0.16604,                 1.7787,                 1.8564,                 1.3505,              2.792e-05,              2.792e-05,              2.792e-05
                     95,                 1.2595,                 1.1767,                 1.0303,                0.50353,                0.23264,                0.31094,                0.16701,                 1.7796,                 1.8443,                  1.348,             2.4821e-05,             2.4821e-05,             2.4821e-05
                     96,                 1.2356,                 1.1979,                 1.0371,                0.49691,                0.22861,                0.31193,                0.16511,                 1.7873,                 1.8372,                 1.3531,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     97,                 1.2121,                 1.1506,                 1.0155,                0.50727,                0.22739,                0.31114,                0.16716,                 1.7827,                 1.8338,                 1.3472,             1.8624e-05,             1.8624e-05,             1.8624e-05
                     98,                 1.1867,                 1.1464,                  1.011,                0.50032,                0.22843,                0.30686,                0.16371,                  1.787,                 1.8631,                 1.3509,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     99,                 1.2497,                 1.1302,                 1.0328,                 0.5676,                0.22942,                0.30755,                0.15887,                 1.7944,                 1.8634,                 1.3586,             1.2426e-05,             1.2426e-05,             1.2426e-05
                    100,                 1.2349,                 1.1627,                 1.0207,                0.56927,                0.22951,                0.30599,                0.16253,                 1.7929,                 1.8623,                 1.3602,             9.3274e-06,             9.3274e-06,             9.3274e-06
